"New Rule","New Rule"
"Edit Rule","Edit Rule"
"This rule no longer exists.","This rule no longer exists."
"Promotions","Promotions"
"Available","Available"
"Used","Used"
"Expired","Expired"
"New coupon notification","New coupon notification"
"Email","Email"
"Generate","Generate"
"Deactivate","Deactivate"
"Deactivate?","Deactivate?"
"Delete","Delete"
"Delete?","Delete?"
"ID","ID"
"Coupon Code","Coupon Code"
"Rule name","Rule name"
"Times Used","Times Used"
"Generated For","Generated For"
"Created By","Created By"
"Created On","Created On"
"Expiration Date","Expiration Date"
"Actions","Actions"
"Delete coupon from the system","Delete coupon from the system"
"Set coupon inactive","Set coupon inactive"
"Shopping Cart Price Rule","Shopping Cart Price Rule"
"Send notification to the customer","Send notification to the customer"
"Coupon Code Generator","Coupon Code Generator"
"Send coupon in a separate email","Send coupon in a separate email"
"For usage with Coupon Code Generator<br /> (Promotions -> Coupon Code Generator -> Rules)","For usage with Coupon Code Generator<br /> (Promotions -> Coupon Code Generator -> Rules)"
"Use Config Settings","Use Config Settings"
"Email template","Email template"
"Coupon prefix","Coupon prefix"
"Coupon expiration","Coupon expiration"
"Days: 0 - without limitation","Days: 0 - without limitation"
"Native Magento Option","Native Magento Option"
"Update prices using the following information","Update prices using the following information"
"Apply","Apply"
"Percent of product price discount","Percent of product price discount"
"Fixed amount discount","Fixed amount discount"
"Fixed amount discount for whole cart","Fixed amount discount for whole cart"
"Buy X get Y free (discount amount is Y)","Buy X get Y free (discount amount is Y)"
"Discount Amount","Discount Amount"
"Maximum Qty Discount is Applied To","Maximum Qty Discount is Applied To"
"Discount Qty Step (Buy X)","Discount Qty Step (Buy X)"
"Apply to Shipping Amount","Apply to Shipping Amount"
"Free Shipping","Free Shipping"
"For matching items only","For matching items only"
"For shipment with matching items","For shipment with matching items"
"Stop Further Rules Processing","Stop Further Rules Processing"
"Yes","Yes"
"No","No"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Apply the rule only to cart items matching the following conditions (leave blank for all items)"
"Apply To","Apply To"
"Conditions","Conditions"
"Apply the rule only if the following conditions are met (leave blank for all products)","Apply the rule only if the following conditions are met (leave blank for all products)"
"Status","Status"
"Website","Website"
"Priority","Priority"
"Generated coupons","Generated coupons"
"Coupon Code Generation","Coupon Code Generation"
"Coupon Code Generator Rules","Coupon Code Generator Rules"
"Add New Rule","Add New Rule"
"Coupon ""%s"" has been successfully removed","Coupon ""%s"" has been successfully removed"
"Couldn't remove primary coupon","Couldn't remove primary coupon"
"Couldn't load coupon by given ID","Couldn't load coupon by given ID"
"ID isn't specified","ID isn't specified"
"Invalid coupon ids","Invalid coupon ids"
"Couldn't remove primary coupon %s","Couldn't remove primary coupon %s"
"%d coupon(s) have been successfully deleted","%d coupon(s) have been successfully deleted"
"%d coupon(s) have been successfully deactivated","%d coupon(s) have been successfully deactivated"
"Coupon ""%s"" has expired","Coupon ""%s"" has expired"
"Please select a rule","Please select a rule"
"%s email address is not valid","%s email address is not valid"
"Coupon ""%s"" has been successfully created.","Coupon ""%s"" has been successfully created."
"Notification has been sent","Notification has been sent"
"Ooops, something went wrong","Ooops, something went wrong"
"The email address is not valid","The email address is not valid"
"Expiration date: %s.","Expiration date: %s."
"customer","customer"
"Coupon Generator Rules Manager","Coupon Generator Rules Manager"
"Default Template from Locale","Default Template from Locale"
"%s (Default Template from Locale)","%s (Default Template from Locale)"
"Generated Coupon Code","Generated Coupon Code"
"Rules","Rules"
"Generated Coupons","Generated Coupons"
"Settings","Settings"
"Rule Name","Rule Name"
"Available variables:<ul><li>{{var name}} - customer name (prints 'customer' for unregistered customers)</li><li>{{var quickCoupon}} - coupon code</li><li>{{var quickCouponDiscount|format}} - discount amount (fixed or percent)</li><li>{{var quickCouponExpirationDate}} - coupon expiration date</li></ul>","Available variables:<ul><li>{{var name}} - customer name (prints 'customer' for unregistered customers)</li><li>{{var quickCoupon}} - coupon code</li><li>{{var quickCouponDiscount|format}} - discount amount (fixed or percent)</li><li>{{var quickCouponExpirationDate}} - coupon expiration date</li></ul>"